execution_time,execution_time_iter,num_iters,max_num,time_1024,time_2048,time_4096,time_8192,depth,roll_out
21.92220902442932,0.0415981195909474,527,512,0.0,0,0,0,2,100
20.716035842895508,0.042713475964733,485,512,0.0,0,0,0,2,100
31.309792041778564,0.0433653629387514,722,1024,31.30970025062561,0,0,0,2,100
40.44735312461853,0.0433984475586035,932,1024,40.44727087020874,0,0,0,2,100
32.27786612510681,0.0444598706957394,726,1024,32.27780604362488,0,0,0,2,100
30.68293595314026,0.0444680231204931,690,1024,30.68290114402771,0,0,0,2,100
22.16849899291992,0.0447848464503432,495,512,0.0,0,0,0,2,100
32.050039768218994,0.044146060286803,726,1024,32.04982399940491,0,0,0,2,100
35.675363063812256,0.0444276003285333,803,1024,35.6751389503479,0,0,0,2,100
21.63846206665039,0.0444321603011301,487,512,0.0,0,0,0,2,100
21.447269201278687,0.044962828514211,477,512,0.0,0,0,0,2,100
36.98979496955872,0.0445123886516952,831,1024,36.98970007896423,0,0,0,2,100
38.31125092506409,0.0448609495609649,854,1024,38.311134815216064,0,0,0,2,100
13.37979817390442,0.0467825110975679,286,256,0.0,0,0,0,2,100
21.04741406440735,0.04794399559090512,439,512,0.0,0,0,0,2,100
