,count_1024,count_2048,count_4096,count_8192,execution_time,execution_time_iter,num_iters,depth,roll_out
0,941,905,0,0,163.203784,0.087088465,1874,4,100
1,744,687,0,0,102.947273,0.061756013,1667,3,100
2,0,0,0,0,19.21954012,0.036889712,521,2,100
