execution_time,execution_time_iter,num_iters,max_num,time_1024,time_2048,time_4096,time_8192,depth,roll_out
57.47634482383728,0.039584259520549,1452,2048,38.595842123031616,57.47626614570618,0,0,4,50
56.73270773887634,0.0395349879713423,1435,2048,37.32117295265198,56.73266315460205,0,0,4,50
53.34589505195618,0.0398698767204455,1338,2048,39.40769290924072,53.34579992294312,0,0,4,50
47.01249313354492,0.0396729899861138,1185,2048,39.00854825973511,47.01241183280945,0,0,4,50
46.322699785232544,0.0394571548426171,1174,2048,38.48780798912048,46.32262206077576,0,0,4,50
67.41970896720886,0.0398226278601351,1693,2048,67.4196240901947,67.41962718963623,0,0,4,50
74.91473364830017,0.0452110643622813,1657,2048,74.91463875770569,74.91464376449585,0,0,4,50
44.668923139572144,0.04657864769507,959,1024,44.66881322860718,0.0,0,0,4,50
44.37967896461487,0.0460370113740818,964,1024,44.37956190109253,0.0,0,0,4,50
72.6042788028717,0.0463628855701607,1566,2048,72.60420298576355,72.6042046546936,0,0,4,50
44.52565407752991,0.0468691095552946,950,1024,44.52552604675293,0.0,0,0,4,50
66.05068898200989,0.0470446502720868,1404,2048,45.91760993003845,66.05060887336731,0,0,4,50
87.6618800163269,0.0480076013232896,1826,2048,87.66177415847778,87.66177797317505,0,0,4,50
40.01088309288025,0.040952797433859,977,1024,40.010735273361206,0.0,0,0,4,50
58.30767798423767,0.04097517778231741,1423,2048,39.45681405067444,58.30760407447815,0,0,4,50
